attribute,lemma,count,surfaces
Colore della Pasta,cristallo,20,cristalli
Colore della Pasta,strisce,20,"strisce, strisca"
Colore della Pasta,deciso,20,"deciso, decisa"
Colore della Pasta,difetto,20,"difetto, difetti"
Colore della Pasta,regolare,20,regolare
Colore della Pasta,ossidato,18,ossidato
Colore della Pasta,tratti,18,tratti
Colore della Pasta,verdognolo,16,"verdognolo, verdognoli"
Colore della Pasta,lievissimo,16,lievissimo
Colore della Pasta,grossa,16,"grossa, grosso, grosse"
Colore della Pasta,lati,16,lati
Colore della Pasta,sganciato,16,sganciato
Colore della Pasta,eccessivae,16,eccessivamente
Colore della Pasta,dove,16,dove
Colore della Pasta,generale,16,"generalmente, generale"
Colore della Pasta,macchioline,16,"macchioline, macchiolina"
Colore della Pasta,tendenza,16,tendenza
Colore della Pasta,vedere,16,vedere
Colore della Pasta,esterna,16,"esterna, esterno"
Colore della Pasta,taglio,16,taglio
Colore della Pasta,bianchi,16,bianchi
Colore della Pasta,decisae,16,decisamente
Colore della Pasta,sottoposta,16,"sottoposta, sottoposto"
Colore della Pasta,porzione,16,porzione
Colore della Pasta,forma,16,forma
Colore della Pasta,prossimità,16,prossimità
Colore della Pasta,vistose,15,vistose
Colore della Pasta,dato,14,dato
Colore della Pasta,rossa,14,rossa
Colore della Pasta,struttura,14,struttura
Colore della Pasta,nettae,14,nettamente
Colore della Pasta,fessura,14,"fessure, fessura"
Colore della Pasta,arancione,12,"arancione, arancioni"
Colore della Pasta,dubbio,12,"dubbio, dubbia"
Colore della Pasta,all,12,all
Colore della Pasta,ampio,12,"ampio, ampia"
Colore della Pasta,disomogeneità,12,disomogeneità
Colore della Pasta,irregolare,12,irregolare
Colore della Pasta,on,12,on
Colore della Pasta,alcune,12,alcune
Colore della Pasta,avv,12,avv
Colore della Pasta,superficie,12,superficie
Colore della Pasta,faccia,12,faccia
Colore della Pasta,pi,12,pi
Colore della Pasta,velature,12,"velature, velatura"
Colore della Pasta,numerose,12,"numerose, numerosi"
Colore della Pasta,nota,12,"note, nota"
Colore della Pasta,spugnosa,12,"spugnosa, spugnose"
Colore della Pasta,legg,12,legg
Colore della Pasta,effetto,12,effetto
Colore della Pasta,mm,12,mm
Colore della Pasta,rossastra,12,"rossastra, rossastre"
Colore della Pasta,sicura,12,"sicura, sicuro"
Colore della Pasta,piu,12,piu
Colore della Pasta,enorme,12,enorme
Colore della Pasta,intensità,12,intensità
Colore della Pasta,alonato,12,"alonato, alonata"
Colore della Pasta,diffusa,12,diffusa
Colore della Pasta,rossiccio,12,rossiccio
Colore della Pasta,grigi,12,"grigi, grige"
Colore della Pasta,considerate,12,"considerate, considerata, considerato"
Colore della Pasta,muffa,12,muffa
Colore della Pasta,longitudinale,11,"longitudinale, longitudinali"
Colore della Pasta,lunga,11,"lunga, lungo"
Colore della Pasta,concezione,10,concezione
Colore della Pasta,sembrano,10,sembrano
Colore della Pasta,meno,10,meno
Colore della Pasta,fondo,10,fondo
Colore della Pasta,buono,10,"buono, buona"
Colore della Pasta,belle,8,"belle, bella"
Colore della Pasta,cuore,8,cuore
Colore della Pasta,neri,8,neri
Colore della Pasta,cipria,8,cipria
Colore della Pasta,particolare,8,particolarmente
Colore della Pasta,spostato,8,spostato
Colore della Pasta,accennati,8,"accennati, accennato"
Colore della Pasta,pochi,8,"pochi, poche"
Colore della Pasta,microocchitura,8,microocchitura
Colore della Pasta,c'è,8,c'è
Colore della Pasta,tono,8,tono
Colore della Pasta,allungata,8,allungata
Colore della Pasta,rodata,8,rodata
Colore della Pasta,tipica,8,"tipica, tipico"
Colore della Pasta,ambrata,8,"ambrata, ambrato"
Colore della Pasta,giallina,8,giallina
Colore della Pasta,positiva,8,"positiva, positivo"
Colore della Pasta,rottura,8,rottura
Colore della Pasta,degli,8,degli
Colore della Pasta,estremae,8,estremamente
Colore della Pasta,maggiore,8,"maggiore, maggiormente"
Colore della Pasta,occhiatura,8,occhiatura
Colore della Pasta,strappo,8,strappo
Colore della Pasta,differenze,8,"differenze, differenza"
Colore della Pasta,ombre,8,ombre
Colore della Pasta,difficili,8,"difficili, difficile"
Colore della Pasta,sfondo,8,sfondo
Colore della Pasta,importanti,8,"importanti, importante"
Colore della Pasta,occhio,8,occhio
Profumo,cotto,1156,"cotto, cotti, cotta, cotte"
Profumo,burro,968,burro
Profumo,latte,844,latte
Profumo,nota,778,"note, nota"
Profumo,leggero,738,"leggero, leggera, leggeri, leggere"
Profumo,panna,670,"panna, panne"
Profumo,intenso,600,"intenso, intensi, intensa, intense"
Profumo,vegetale,508,"vegetale, vegetali"
Profumo,brodo,468,brodo
Profumo,intensità,440,intensità
Profumo,crosta,390,"crosta, croste"
Profumo,fermentato,372,"fermentato, fermentata, fermentate, fermentati"
Profumo,tostato,356,"tostato, tostati, tostata, tostate"
Profumo,fuso,350,fuso
Profumo,formaggio,348,formaggio
Profumo,sentore,300,"sentore, sentori"
Profumo,frutta,274,frutta
Profumo,fresco,250,"fresco, freschi, fresca, fresche"
Profumo,lattico,250,"lattico, lattici, lattiche, lattica"
Profumo,moderata,244,"moderata, moderato"
Profumo,fruttato,238,"fruttato, fruttata, fruttate"
Profumo,odore,210,"odore, odori"
Profumo,bruciato,198,"bruciato, bruciata, bruciate"
Profumo,animale,196,"animale, animali"
Profumo,grana,194,grana
Profumo,ossidato,170,"ossidato, ossidata"
Profumo,all'apertura,168,all'apertura
Profumo,buona,158,"buona, buono, buoni"
Profumo,complesso,152,complesso
Profumo,verdura,144,"verdura, verdure"
Profumo,fieno,142,fieno
Profumo,pungente,142,"pungente, pungenti"
Profumo,pezzi,134,"pezzi, pezzo"
